PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
67,0,2,0,29,0,0,10.5,3
269,1,1,0,58,0,1,153.4625,3
270,1,1,0,35,0,0,135.6333,3
276,1,1,0,63,1,0,77.9583,3
291,0,1,0,26,0,0,78.85,3
300,0,1,0,50,0,1,247.5208,1
307,0,1,0,0,0,0,110.8833,1
310,0,1,0,30,0,0,56.9292,1
311,1,1,0,24,0,0,83.1583,1
317,1,2,0,24,1,0,26,3
319,1,1,0,31,0,2,164.8667,3
320,1,1,0,40,1,1,134.5,1
323,0,2,0,30,0,0,12.35,2
326,0,1,0,36,0,0,135.6333,1
328,0,2,0,36,0,0,13,3
335,1,1,0,0,1,0,133.65,3
338,0,1,0,41,0,0,134.5,1
367,1,1,0,60,1,0,75.25,1
370,0,1,0,24,0,0,69.3,1
376,1,1,0,0,1,0,82.1708,1
381,0,1,0,42,0,0,227.525,1
384,1,1,0,35,1,0,52,3
388,1,2,0,36,0,0,13,3
390,1,2,0,17,0,0,12,1
394,0,1,0,23,1,0,113.275,1
400,1,2,0,28,0,0,12.65,3
413,0,1,0,33,1,0,90,2
417,0,2,0,34,1,1,32.5,3
427,1,2,0,28,1,0,26,3
444,0,2,0,28,0,0,13,3
458,0,1,0,0,1,0,51.8625,3
487,1,1,0,35,1,0,90,3
497,1,1,0,54,1,0,78.2667,1
514,0,1,0,54,1,0,59.4,1
519,0,2,0,36,1,0,26,3
521,0,1,0,30,0,0,93.5,3
524,1,1,0,44,0,1,57.9792,1
538,0,1,0,30,0,0,106.425,1
559,0,1,0,39,1,1,79.65,3
572,1,1,0,53,2,0,51.4792,3
577,0,2,0,34,0,0,13,3
578,0,1,0,39,1,0,55.9,3
581,0,2,0,25,1,1,30,3
582,1,1,0,39,1,1,110.8833,1
592,1,1,0,52,1,0,78.2667,1
609,0,2,0,22,1,2,41.5792,1
610,0,1,0,40,0,0,153.4625,3
616,1,2,0,24,1,2,65,3
619,0,2,0,4,2,1,39,3
628,0,1,0,21,0,0,77.9583,3
636,0,2,0,28,0,0,13,3
642,0,1,0,24,0,0,69.3,1
670,1,1,0,0,1,0,52,3
671,1,2,0,40,1,1,39,3
690,0,1,0,15,0,1,211.3375,3
709,1,1,0,22,0,0,151.55,3
711,1,1,0,24,0,0,49.5042,1
717,0,1,0,38,0,0,227.525,1
731,1,1,0,29,0,0,211.3375,3
748,0,2,0,30,0,0,13,3
760,0,1,0,33,0,0,86.5,3
766,1,1,0,51,1,0,77.9583,3
780,0,1,0,43,0,1,211.3375,3
802,0,2,0,31,1,1,26.25,3
830,0,1,0,62,0,0,80,0
880,1,1,0,56,0,1,83.1583,1
194,1,2,1,3,1,1,26,3
260,0,2,0,50,0,1,26,3
341,1,2,1,2,1,1,26,3
507,0,2,0,33,0,2,26,3
536,0,2,0,7,0,2,26.25,3
721,0,2,0,6,0,1,33,3
152,0,1,0,22,1,0,66.6,3
196,0,1,0,58,0,0,146.5208,1
216,1,1,0,31,1,0,113.275,1
219,0,1,0,32,0,0,76.2917,1
231,0,1,0,35,1,0,83.475,3
257,0,1,0,0,0,0,79.2,1
258,1,1,0,30,0,0,86.5,3
259,1,1,0,35,0,0,512.3292,1
2,0,1,0,38,1,0,71.2833,1
4,1,1,0,35,1,0,53.1,3
32,1,1,0,0,1,0,146.5208,1
53,0,1,0,49,1,0,76.7292,1
756,1,2,1,0.67,1,1,14.5,3
832,1,2,1,0.83,1,1,18.75,3
810,0,1,0,33,1,0,53.1,3
821,0,1,0,52,1,1,93.5,3
836,1,1,0,39,1,1,83.1583,1
850,0,1,0,0,1,0,89.1042,1
857,0,1,0,45,1,1,164.8667,3
872,0,1,0,47,1,1,52.5542,3
59,0,2,0,5,1,2,27.75,3
292,0,1,0,19,1,0,91.0792,1
308,0,1,0,17,1,0,108.9,1
505,0,1,0,16,0,0,86.5,3
547,0,2,0,19,1,0,26,3
701,1,1,0,18,1,0,227.525,1
782,1,1,0,17,1,0,57,3
79,0,2,1,0.83,0,2,29,3
238,0,2,0,8,0,2,26.25,3
428,0,2,0,19,0,0,26,3
304,0,2,0,0,0,0,12.35,2
346,0,2,0,24,0,0,13,3
474,0,2,0,23,0,0,13.7917,1
755,0,2,0,48,1,2,65,3
10,1,2,0,14,1,0,30.0708,1
751,1,2,0,4,1,1,23,3
707,0,2,0,45,0,0,13.5,3
212,1,2,0,35,0,0,21,3
652,0,2,0,18,0,1,23,3
843,0,1,0,30,0,0,31,1
854,0,1,0,16,0,1,39.4,3
789,0,3,1,1,1,2,20.575,3
870,0,3,1,4,1,1,11.1333,3
54,0,2,0,29,1,0,26,3
134,0,2,0,29,1,0,26,3
797,0,1,0,49,0,0,25.9292,3
44,0,2,0,3,1,2,41.5792,1
752,0,3,1,6,0,1,12.475,3
550,0,2,1,8,1,1,36.75,3
447,0,2,0,13,0,1,19.5,3
418,0,2,0,18,0,2,13,3
191,1,2,0,32,0,0,13,3
888,0,1,0,19,0,0,30,3
167,1,1,0,0,0,1,55,3
775,0,2,0,54,1,3,23,3
349,1,3,1,3,1,1,15.9,3
408,1,2,1,3,1,1,18.75,3
490,0,3,1,9,1,1,15.9,3
